#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
4286,Volodymyr Bibikov Petrovych,"January 18, 1994",Kharkiv Oblast,Lviv Oblast,Senior soldier,Infantry,"https://example3.com, https://example10.com, https://example10.com, https://example9.com, https://example2.com, https://example2.com, https://example3.com"
4287,Mykola Kravchenko Vasyl'ovych,"April 28, 1962",Lviv Oblast,Donetsk Oblast,Lieutenant,Recon Squad,"https://example8.com, https://example5.com, https://example8.com, https://example4.com, https://example8.com, https://example5.com, https://example2.com, https://example4.com"
4288,Andrij Tkachuk Serhiyovych,"July 24, 1985",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 1,"https://example1.com, https://example3.com, https://example10.com, https://example2.com"
4289,Roman Zinchenko Mykhailovych,"August 11, 1968",Odesa Oblast,Lviv Oblast,Colonel,Infantry,"https://example4.com, https://example1.com, https://example3.com, https://example5.com, https://example3.com, https://example4.com"
4290,Dmytro Bibikov Oleksandrovych,"December 06, 1979",Chernivtsi Oblast,Donetsk Oblast,Senior soldier,Battalion 2,"https://example3.com, https://example6.com, https://example9.com, https://example9.com, https://example7.com, https://example8.com"
4291,Oleksandr Hrytsenko Petrovych,"July 27, 1988",Kyiv Oblast,Lviv Oblast,Captain,Special Forces,"https://example5.com, https://example8.com, https://example8.com, https://example6.com"
4292,Ihor Bibikov Yuriyovych,"May 23, 1993",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example8.com, https://example7.com, https://example9.com, https://example7.com, https://example4.com"
4293,Serhiy Tkachuk Romanovych,"December 02, 1994",Lviv Oblast,Kyiv Oblast,Sergeant,Battalion 2,"https://example2.com, https://example2.com, https://example3.com"
4294,Serhiy Tkachuk Mykhailovych,"September 19, 1973","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Lieutenant,Infantry,"https://example8.com, https://example9.com, https://example10.com, https://example9.com, https://example10.com, https://example2.com, https://example9.com"
4295,Dmytro Zinchenko Mykhailovych,"August 14, 1993",Donetsk Oblast,Donetsk Oblast,Major,Battalion 2,"https://example6.com, https://example9.com, https://example5.com, https://example2.com, https://example8.com"
4296,Yuriy Tkachuk Volodymyrovych,"September 30, 1974",Donetsk Oblast,Donetsk Oblast,Sergeant,Battalion 2,"https://example2.com, https://example9.com, https://example8.com, https://example7.com, https://example1.com, https://example5.com, https://example5.com, https://example8.com"
4297,Yuriy Hrytsenko Petrovych,"February 05, 1994","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Sergeant,Battalion 1,"https://example1.com, https://example1.com, https://example2.com"
4298,Roman Hrytsenko Ivanovych,"March 19, 1995",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 2,"https://example9.com, https://example1.com, https://example5.com, https://example3.com, https://example4.com, https://example9.com"
4299,Oleksandr Zinchenko Petrovych,"July 28, 1986","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Private,Battalion 2,"https://example4.com, https://example9.com, https://example5.com, https://example9.com"
4300,Yuriy Tkachuk Petrovych,"March 18, 1976",Kyiv Oblast,Donetsk Oblast,Senior soldier,Unknown,"https://example1.com, https://example4.com, https://example2.com, https://example7.com, https://example6.com, https://example10.com, https://example8.com, https://example6.com"
4301,Roman Tkachuk Petrovych,"July 19, 1970",Odesa Oblast,Odesa Oblast,Captain,Unknown,"https://example2.com, https://example1.com, https://example10.com, https://example10.com, https://example9.com, https://example7.com, https://example2.com"
4302,Andrij Lysenko Vasyl'ovych,"May 24, 1961",Zhytomyr Oblast,Odesa Oblast,Major,Unknown,"https://example9.com, https://example4.com, https://example10.com"
4303,Dmytro Shevchenko Oleksandrovych,"December 07, 1961","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Recon Squad,"https://example3.com, https://example10.com, https://example10.com, https://example7.com, https://example7.com"
4304,Roman Shevchenko Petrovych,"June 26, 1984",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Unknown,"https://example2.com, https://example5.com, https://example4.com, https://example9.com, https://example9.com"
4305,Dmytro Sakalo Ivanovych,"September 04, 1965",Lviv Oblast,Kyiv Oblast,Sergeant,Special Forces,"https://example8.com, https://example6.com, https://example4.com"
4306,Oleh Sakalo Oleksandrovych,"December 27, 1990","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example4.com, https://example4.com, https://example9.com, https://example8.com, https://example3.com"
4307,Roman Kovalenko Serhiyovych,"March 23, 1971",Chernivtsi Oblast,Kyiv Oblast,Colonel,Special Forces,"https://example4.com, https://example6.com, https://example10.com, https://example6.com, https://example2.com, https://example6.com"
4308,Serhiy Bibikov Mykolayovych,"August 08, 1963",Chernivtsi Oblast,Odesa Oblast,Lieutenant,Unknown,"https://example5.com, https://example8.com, https://example6.com, https://example10.com, https://example6.com, https://example4.com, https://example9.com, https://example7.com"
4309,Oleksandr Kravchenko Yuriyovych,"June 09, 1981",Odesa Oblast,Zhytomyr Oblast,Lieutenant,Recon Squad,"https://example4.com, https://example5.com, https://example10.com, https://example7.com, https://example1.com"
4310,Andrij Kravchenko Mykhailovych,"February 23, 1975",Kyiv Oblast,Zhytomyr Oblast,Private,Infantry,"https://example4.com, https://example1.com, https://example2.com, https://example8.com, https://example2.com"
4311,Dmytro Tkachuk Serhiyovych,"January 22, 1990","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Sergeant,Infantry,"https://example3.com, https://example7.com, https://example10.com, https://example7.com"
4312,Ihor Bibikov Yuriyovych,"January 25, 1982",Kharkiv Oblast,Chernivtsi Oblast,Captain,Battalion 1,"https://example4.com, https://example3.com, https://example10.com, https://example6.com, https://example8.com, https://example5.com, https://example1.com, https://example5.com"
4313,Oleksandr Lysenko Vasyl'ovych,"January 12, 1967",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example7.com, https://example10.com, https://example1.com, https://example6.com"
4314,Roman Kravchenko Romanovych,"March 31, 1967",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Infantry,"https://example4.com, https://example9.com, https://example5.com"
4315,Oleksandr Kravchenko Petrovych,"November 20, 1998",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Unknown,"https://example9.com, https://example3.com, https://example6.com, https://example10.com, https://example10.com, https://example9.com, https://example5.com"
4316,Yuriy Shevchenko Serhiyovych,"September 28, 1984",Kharkiv Oblast,Lviv Oblast,Sergeant,Infantry,"https://example4.com, https://example5.com, https://example7.com"
4317,Serhiy Tkachuk Petrovych,"April 11, 1997",Kharkiv Oblast,Kharkiv Oblast,Senior soldier,Special Forces,"https://example7.com, https://example8.com, https://example1.com, https://example1.com"
4318,Mykola Kravchenko Volodymyrovych,"February 02, 1991",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Recon Squad,"https://example10.com, https://example7.com, https://example4.com, https://example9.com, https://example2.com, https://example6.com, https://example1.com"
4319,Oleh Bondarenko Vasyl'ovych,"March 02, 1982","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Private,Battalion 2,"https://example2.com, https://example6.com, https://example7.com, https://example8.com, https://example6.com, https://example1.com, https://example1.com"
4320,Roman Bondarenko Petrovych,"March 28, 1962",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Infantry,"https://example8.com, https://example1.com, https://example5.com"
4321,Roman Kravchenko Yuriyovych,"October 22, 1987",Chernivtsi Oblast,Donetsk Oblast,Senior soldier,Battalion 2,"https://example1.com, https://example4.com, https://example8.com"
4322,Oleh Kravchenko Petrovych,"November 13, 1978",Donetsk Oblast,Kharkiv Oblast,Senior soldier,Special Forces,"https://example3.com, https://example6.com, https://example2.com"
4323,Volodymyr Hrytsenko Ivanovych,"July 31, 1963","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 2,"https://example10.com, https://example5.com, https://example5.com, https://example10.com, https://example9.com, https://example8.com"
4324,Ihor Bibikov Petrovych,"March 03, 1967",Lviv Oblast,Donetsk Oblast,Lieutenant,Recon Squad,"https://example2.com, https://example10.com, https://example3.com, https://example1.com"
4325,Roman Zinchenko Mykhailovych,"February 04, 1997",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Battalion 1,"https://example3.com, https://example4.com, https://example3.com, https://example9.com, https://example8.com, https://example2.com"
4326,Yuriy Hrytsenko Yuriyovych,"June 06, 1984","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Captain,Battalion 1,"https://example3.com, https://example6.com, https://example8.com, https://example6.com, https://example8.com, https://example1.com"
4327,Dmytro Hrytsenko Yuriyovych,"January 22, 1966","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Unknown,"https://example8.com, https://example4.com, https://example5.com, https://example10.com"
4328,Serhiy Hrytsenko Petrovych,"July 19, 1966",Odesa Oblast,Chernivtsi Oblast,Sergeant,Recon Squad,"https://example9.com, https://example9.com, https://example7.com, https://example7.com, https://example9.com"
4329,Andrij Sakalo Ivanovych,"October 20, 1961",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Recon Squad,"https://example1.com, https://example8.com, https://example3.com, https://example9.com, https://example9.com, https://example3.com"
4330,Dmytro Bibikov Mykhailovych,"May 23, 1977","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Special Forces,"https://example3.com, https://example7.com, https://example2.com, https://example9.com, https://example8.com"
4331,Serhiy Lysenko Oleksandrovych,"September 17, 1978",Kharkiv Oblast,Kyiv Oblast,Lieutenant,Unknown,"https://example5.com, https://example9.com, https://example10.com, https://example10.com, https://example5.com"
4332,Ihor Sakalo Petrovych,"October 06, 1965",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 2,"https://example2.com, https://example5.com, https://example2.com, https://example1.com, https://example6.com, https://example7.com, https://example7.com"
4333,Oleh Bondarenko Yuriyovych,"May 15, 1972",Zhytomyr Oblast,Kharkiv Oblast,Major,Battalion 2,"https://example5.com, https://example5.com, https://example4.com, https://example3.com, https://example4.com, https://example9.com, https://example8.com, https://example1.com"
4334,Roman Bibikov Ivanovych,"November 19, 1994","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Lieutenant,Battalion 1,"https://example5.com, https://example6.com, https://example6.com, https://example4.com, https://example9.com, https://example2.com"
4335,Oleksandr Tkachuk Oleksandrovych,"December 17, 1973","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Lieutenant,Unknown,"https://example1.com, https://example6.com, https://example6.com, https://example8.com, https://example10.com, https://example5.com"
4336,Yuriy Hrytsenko Volodymyrovych,"May 26, 1974",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example7.com, https://example9.com, https://example7.com, https://example7.com, https://example10.com, https://example4.com, https://example1.com, https://example9.com"
4337,Volodymyr Tkachuk Serhiyovych,"July 09, 1993",Kharkiv Oblast,Lviv Oblast,Private,Special Forces,"https://example4.com, https://example9.com, https://example7.com, https://example6.com, https://example10.com, https://example9.com, https://example10.com, https://example10.com"
4338,Volodymyr Kovalenko Romanovych,"June 08, 1968",Odesa Oblast,Donetsk Oblast,Private,Unknown,"https://example1.com, https://example4.com, https://example8.com"
4339,Andrij Zinchenko Yuriyovych,"April 29, 1965",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Infantry,"https://example2.com, https://example10.com, https://example7.com, https://example9.com, https://example5.com"
4340,Roman Lysenko Vasyl'ovych,"July 23, 1962",Zhytomyr Oblast,Donetsk Oblast,Colonel,Special Forces,"https://example6.com, https://example5.com, https://example3.com, https://example7.com, https://example9.com, https://example1.com, https://example7.com"
4341,Volodymyr Lysenko Petrovych,"October 28, 1963",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example4.com, https://example3.com, https://example3.com, https://example7.com, https://example5.com, https://example10.com, https://example10.com"
4342,Ihor Sakalo Petrovych,"July 14, 1979",Kyiv Oblast,Lviv Oblast,Captain,Special Forces,"https://example1.com, https://example10.com, https://example6.com, https://example8.com, https://example8.com, https://example1.com, https://example6.com"
4343,Serhiy Hrytsenko Yuriyovych,"October 02, 1970",Odesa Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example1.com, https://example6.com, https://example4.com, https://example7.com, https://example6.com, https://example6.com, https://example3.com"
4344,Dmytro Bondarenko Vasyl'ovych,"February 24, 1997",Donetsk Oblast,Chernivtsi Oblast,Lieutenant,Special Forces,"https://example6.com, https://example1.com, https://example3.com, https://example10.com"
4345,Mykola Zinchenko Yuriyovych,"October 04, 1960","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Unknown,"https://example7.com, https://example4.com, https://example3.com, https://example8.com, https://example4.com"
4346,Dmytro Shevchenko Ivanovych,"August 13, 1987",Donetsk Oblast,Donetsk Oblast,Colonel,Infantry,"https://example5.com, https://example10.com, https://example7.com, https://example6.com"
4347,Mykola Lysenko Volodymyrovych,"June 17, 1982",Donetsk Oblast,Kharkiv Oblast,Colonel,Special Forces,"https://example9.com, https://example5.com, https://example8.com, https://example8.com, https://example7.com, https://example8.com"
4348,Oleh Kovalenko Romanovych,"October 29, 1990",Zhytomyr Oblast,Chernivtsi Oblast,Private,Recon Squad,"https://example5.com, https://example4.com, https://example7.com, https://example10.com, https://example7.com, https://example7.com"
4349,Andrij Bondarenko Yuriyovych,"February 01, 1963",Kyiv Oblast,Donetsk Oblast,Sergeant,Recon Squad,"https://example3.com, https://example2.com, https://example4.com, https://example8.com, https://example9.com, https://example7.com"
4350,Serhiy Lysenko Volodymyrovych,"February 09, 1997","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Unknown,"https://example4.com, https://example1.com, https://example9.com, https://example2.com, https://example4.com, https://example6.com, https://example5.com, https://example1.com"
4351,Andrij Kravchenko Ivanovych,"September 08, 1991",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Battalion 2,"https://example8.com, https://example6.com, https://example2.com"
4352,Yuriy Bondarenko Romanovych,"July 11, 1983",Kyiv Oblast,Donetsk Oblast,Major,Special Forces,"https://example10.com, https://example2.com, https://example1.com, https://example1.com, https://example6.com"
4353,Yuriy Sakalo Yuriyovych,"May 06, 1987",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Unknown,"https://example4.com, https://example4.com, https://example5.com, https://example10.com, https://example2.com, https://example2.com"
4354,Oleh Bondarenko Oleksandrovych,"November 09, 1993",Chernivtsi Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example3.com, https://example10.com, https://example4.com, https://example8.com, https://example10.com, https://example8.com, https://example10.com"
4355,Yuriy Sakalo Romanovych,"May 15, 1976","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Senior soldier,Battalion 2,"https://example7.com, https://example4.com, https://example9.com, https://example10.com"
4356,Mykola Sakalo Romanovych,"June 15, 1995",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example9.com, https://example9.com, https://example6.com, https://example6.com, https://example4.com, https://example9.com"
4357,Dmytro Sakalo Mykhailovych,"May 07, 1997",Zhytomyr Oblast,Chernivtsi Oblast,Sergeant,Infantry,"https://example5.com, https://example1.com, https://example9.com"
4358,Oleh Shevchenko Vasyl'ovych,"July 08, 1974",Zhytomyr Oblast,Chernivtsi Oblast,Colonel,Special Forces,"https://example5.com, https://example5.com, https://example6.com, https://example7.com, https://example10.com, https://example5.com"
4359,Mykola Hrytsenko Yuriyovych,"July 02, 1992","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Major,Recon Squad,"https://example7.com, https://example9.com, https://example8.com, https://example6.com, https://example2.com, https://example9.com, https://example3.com, https://example5.com"
4360,Andrij Lysenko Serhiyovych,"April 30, 1997",Chernivtsi Oblast,Kharkiv Oblast,Sergeant,Unknown,"https://example5.com, https://example2.com, https://example2.com, https://example4.com, https://example9.com, https://example1.com, https://example6.com"
4361,Oleksandr Hrytsenko Yuriyovych,"May 12, 1990",Odesa Oblast,Kharkiv Oblast,Captain,Unknown,"https://example1.com, https://example2.com, https://example2.com, https://example1.com, https://example5.com, https://example2.com, https://example2.com, https://example8.com"
4362,Volodymyr Zinchenko Volodymyrovych,"February 11, 1997",Chernivtsi Oblast,Kharkiv Oblast,Private,Unknown,"https://example6.com, https://example10.com, https://example9.com, https://example4.com"
4363,Andrij Bondarenko Romanovych,"July 22, 1971",Donetsk Oblast,Lviv Oblast,Lieutenant,Unknown,"https://example10.com, https://example5.com, https://example8.com, https://example7.com, https://example10.com, https://example3.com"
4364,Oleksandr Kovalenko Petrovych,"November 18, 1975",Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 1,"https://example2.com, https://example7.com, https://example2.com, https://example5.com"
4365,Ihor Lysenko Oleksandrovych,"March 26, 1999","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Battalion 1,"https://example3.com, https://example10.com, https://example7.com, https://example4.com, https://example2.com, https://example10.com"
4366,Dmytro Tkachuk Romanovych,"July 13, 1980","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Lieutenant,Battalion 2,"https://example9.com, https://example10.com, https://example2.com, https://example6.com, https://example5.com"
4367,Oleh Zinchenko Petrovych,"January 27, 1967","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Recon Squad,"https://example9.com, https://example7.com, https://example10.com"
4368,Mykola Sakalo Oleksandrovych,"September 04, 1980",Donetsk Oblast,Zhytomyr Oblast,Colonel,Unknown,"https://example6.com, https://example9.com, https://example9.com"
4369,Roman Kravchenko Yuriyovych,"September 13, 1966",Odesa Oblast,Lviv Oblast,Sergeant,Special Forces,"https://example8.com, https://example5.com, https://example3.com, https://example6.com"
4370,Volodymyr Kovalenko Vasyl'ovych,"October 21, 1973",Zhytomyr Oblast,Zhytomyr Oblast,Major,Infantry,"https://example10.com, https://example5.com, https://example1.com, https://example7.com"
4371,Oleh Kovalenko Oleksandrovych,"January 04, 1998","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example1.com, https://example4.com, https://example3.com, https://example5.com, https://example7.com"
4372,Oleh Zinchenko Vasyl'ovych,"February 09, 2000",Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 2,"https://example6.com, https://example3.com, https://example10.com, https://example2.com, https://example1.com"
4373,Oleksandr Kravchenko Vasyl'ovych,"August 11, 1991","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Captain,Special Forces,"https://example5.com, https://example5.com, https://example9.com, https://example3.com, https://example7.com, https://example6.com, https://example3.com, https://example3.com"
4374,Yuriy Lysenko Petrovych,"April 17, 1978",Donetsk Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example3.com, https://example3.com, https://example10.com, https://example9.com, https://example2.com, https://example9.com, https://example9.com, https://example9.com"
4375,Oleh Zinchenko Romanovych,"March 09, 1996",Lviv Oblast,Lviv Oblast,Sergeant,Battalion 1,"https://example5.com, https://example1.com, https://example5.com, https://example2.com"
4376,Dmytro Shevchenko Ivanovych,"May 14, 1969",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Infantry,"https://example2.com, https://example2.com, https://example8.com, https://example5.com, https://example10.com, https://example5.com, https://example6.com"
4377,Ihor Lysenko Romanovych,"February 11, 1978",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example10.com, https://example9.com, https://example6.com, https://example3.com"
4378,Oleh Zinchenko Romanovych,"January 01, 1998",Odesa Oblast,Kharkiv Oblast,Sergeant,Infantry,"https://example7.com, https://example7.com, https://example1.com, https://example9.com, https://example6.com, https://example6.com"
4379,Dmytro Hrytsenko Volodymyrovych,"September 07, 1973",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Special Forces,"https://example6.com, https://example7.com, https://example6.com, https://example1.com, https://example10.com, https://example10.com, https://example7.com"
4380,Serhiy Bondarenko Mykhailovych,"July 26, 1970",Odesa Oblast,Chernivtsi Oblast,Sergeant,Special Forces,"https://example5.com, https://example10.com, https://example8.com, https://example6.com, https://example9.com, https://example9.com, https://example7.com, https://example10.com"
4381,Serhiy Hrytsenko Volodymyrovych,"June 01, 1988",Donetsk Oblast,Zhytomyr Oblast,Senior soldier,Infantry,"https://example1.com, https://example1.com, https://example2.com, https://example2.com, https://example7.com, https://example9.com, https://example3.com, https://example8.com"
4382,Mykola Bondarenko Serhiyovych,"January 03, 1983",Odesa Oblast,Donetsk Oblast,Lieutenant,Special Forces,"https://example2.com, https://example4.com, https://example8.com, https://example9.com, https://example10.com, https://example6.com, https://example3.com, https://example4.com"
4383,Dmytro Tkachuk Mykhailovych,"November 13, 1998",Kyiv Oblast,Zhytomyr Oblast,Major,Infantry,"https://example1.com, https://example2.com, https://example8.com, https://example8.com, https://example9.com, https://example3.com, https://example5.com, https://example1.com"
4384,Andrij Kovalenko Mykhailovych,"July 19, 1987",Chernivtsi Oblast,Odesa Oblast,Private,Battalion 1,"https://example2.com, https://example3.com, https://example8.com, https://example5.com, https://example4.com, https://example1.com, https://example5.com, https://example3.com"
4385,Oleh Zinchenko Volodymyrovych,"May 25, 1963",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example6.com, https://example5.com, https://example8.com"
4386,Volodymyr Hrytsenko Ivanovych,"March 21, 1984","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Private,Unknown,"https://example6.com, https://example7.com, https://example7.com"
4387,Volodymyr Kovalenko Mykolayovych,"May 13, 1973","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Sergeant,Battalion 2,"https://example6.com, https://example6.com, https://example9.com"
4388,Mykola Hrytsenko Ivanovych,"May 30, 1973","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Special Forces,"https://example4.com, https://example10.com, https://example7.com, https://example8.com, https://example8.com"
4389,Andrij Tkachuk Ivanovych,"March 18, 1961",Odesa Oblast,Chernivtsi Oblast,Colonel,Battalion 2,"https://example1.com, https://example7.com, https://example6.com, https://example6.com"
4390,Dmytro Zinchenko Petrovych,"December 16, 1978",Lviv Oblast,Odesa Oblast,Private,Unknown,"https://example10.com, https://example7.com, https://example3.com"
4391,Ihor Bondarenko Ivanovych,"December 30, 1992",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example8.com, https://example6.com, https://example8.com, https://example7.com, https://example1.com, https://example3.com, https://example1.com"
4392,Mykola Tkachuk Mykhailovych,"February 26, 1997",Lviv Oblast,Lviv Oblast,Sergeant,Special Forces,"https://example2.com, https://example10.com, https://example8.com"
4393,Dmytro Sakalo Volodymyrovych,"July 29, 1994","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Senior soldier,Battalion 1,"https://example10.com, https://example5.com, https://example6.com, https://example10.com"
4394,Oleh Shevchenko Mykhailovych,"February 22, 1974","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example2.com, https://example7.com, https://example5.com, https://example3.com, https://example3.com, https://example1.com, https://example4.com"
4395,Oleksandr Sakalo Petrovych,"January 14, 1960","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Colonel,Unknown,"https://example2.com, https://example1.com, https://example7.com"
4396,Serhiy Bondarenko Volodymyrovych,"September 24, 1973",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Special Forces,"https://example4.com, https://example1.com, https://example3.com, https://example7.com, https://example10.com, https://example4.com, https://example5.com, https://example6.com"
4397,Andrij Bibikov Volodymyrovych,"November 02, 1963",Lviv Oblast,Zhytomyr Oblast,Captain,Battalion 1,"https://example9.com, https://example10.com, https://example9.com, https://example9.com, https://example3.com, https://example5.com, https://example5.com, https://example2.com"
4398,Mykola Lysenko Romanovych,"September 16, 1977",Zhytomyr Oblast,Kharkiv Oblast,Senior soldier,Battalion 1,"https://example3.com, https://example4.com, https://example5.com, https://example9.com, https://example6.com, https://example1.com, https://example2.com"
4399,Oleksandr Bibikov Oleksandrovych,"April 02, 1984",Chernivtsi Oblast,Kharkiv Oblast,Senior soldier,Battalion 1,"https://example1.com, https://example5.com, https://example9.com, https://example4.com, https://example6.com"
4400,Roman Bibikov Mykolayovych,"March 05, 1986",Kyiv Oblast,Zhytomyr Oblast,Senior soldier,Recon Squad,"https://example10.com, https://example7.com, https://example7.com, https://example1.com, https://example7.com, https://example1.com"
4401,Volodymyr Kravchenko Yuriyovych,"August 05, 1999",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Battalion 1,"https://example8.com, https://example9.com, https://example10.com, https://example5.com, https://example3.com, https://example10.com, https://example6.com, https://example3.com"
4402,Volodymyr Zinchenko Petrovych,"July 09, 1983",Chernivtsi Oblast,Kyiv Oblast,Captain,Special Forces,"https://example5.com, https://example6.com, https://example2.com, https://example6.com"
