#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
4041,Volodymyr Lysenko Ivanovych,"November 08, 1989",27,"February 11, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 1,"https://example5.com, https://example6.com, https://example4.com, https://example4.com"
4042,Oleksandr Zinchenko Petrovych,"November 12, 1989",58,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Private,Battalion 2,"https://example2.com, https://example9.com, https://example7.com, https://example3.com, https://example2.com, https://example10.com, https://example6.com, https://example9.com"
4043,Dmytro Hrytsenko Oleksandrovych,"June 09, 1979",56,"November 22, 2023",Lviv Oblast,Donetsk Oblast,Major,Battalion 2,"https://example3.com, https://example1.com, https://example4.com, https://example7.com, https://example4.com, https://example3.com, https://example6.com, https://example5.com"
4044,Yuriy Kovalenko Serhiyovych,"December 13, 1990",41,"July 30, 2024",Kharkiv Oblast,Chernivtsi Oblast,Colonel,Unknown,"https://example6.com, https://example6.com, https://example8.com, https://example5.com, https://example7.com, https://example3.com"
4045,Roman Zinchenko Volodymyrovych,"April 22, 1977",73,"March 05, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Sergeant,Recon Squad,"https://example5.com, https://example5.com, https://example3.com, https://example4.com, https://example10.com, https://example5.com, https://example8.com"
4046,Mykola Shevchenko Yuriyovych,"November 06, 1971",58,"April 16, 2024",Odesa Oblast,Kyiv Oblast,Senior soldier,Recon Squad,"https://example10.com, https://example2.com, https://example10.com"
4047,Oleksandr Zinchenko Mykolayovych,"November 26, 1961",34,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Private,Infantry,"https://example5.com, https://example1.com, https://example1.com, https://example8.com, https://example8.com, https://example1.com, https://example7.com, https://example9.com"
4048,Roman Kovalenko Romanovych,"January 30, 1976",25,"October 09, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Sergeant,Infantry,"https://example4.com, https://example6.com, https://example6.com"
4049,Dmytro Bibikov Yuriyovych,"July 15, 1979",54,"May 16, 2023",Kyiv Oblast,Donetsk Oblast,Sergeant,Recon Squad,"https://example9.com, https://example1.com, https://example6.com, https://example1.com, https://example3.com"
4050,Volodymyr Shevchenko Romanovych,"October 13, 1986",92,"July 29, 2023",Donetsk Oblast,Odesa Oblast,Senior soldier,Special Forces,"https://example6.com, https://example7.com, https://example1.com"
4051,Volodymyr Bondarenko Oleksandrovych,"April 27, 1962",94,"October 02, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example6.com, https://example7.com, https://example4.com"
4052,Roman Kovalenko Romanovych,"January 24, 1980",22,?,Kharkiv Oblast,Odesa Oblast,Senior soldier,Battalion 2,"https://example5.com, https://example3.com, https://example1.com, https://example3.com, https://example10.com, https://example4.com, https://example10.com"
4053,Oleh Sakalo Yuriyovych,"July 05, 1990",96,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Senior soldier,Infantry,"https://example6.com, https://example1.com, https://example4.com, https://example8.com, https://example1.com, https://example6.com"
4054,Mykola Shevchenko Romanovych,"July 05, 1971",43,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Recon Squad,"https://example10.com, https://example2.com, https://example3.com, https://example9.com"
4055,Oleh Tkachuk Vasyl'ovych,"February 05, 1961",42,?,Kharkiv Oblast,Donetsk Oblast,Colonel,Unknown,"https://example1.com, https://example8.com, https://example10.com, https://example10.com, https://example8.com, https://example7.com"
4056,Serhiy Lysenko Petrovych,"October 22, 1962",4,"February 13, 2023",Kharkiv Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example2.com, https://example7.com, https://example5.com, https://example4.com, https://example8.com, https://example10.com, https://example6.com"
4057,Roman Shevchenko Ivanovych,"January 17, 1997",2,"January 16, 2022",Kharkiv Oblast,Kyiv Oblast,Private,Battalion 2,"https://example5.com, https://example5.com, https://example2.com, https://example3.com"
4058,Roman Bibikov Mykolayovych,"September 08, 1969",16,?,Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Recon Squad,"https://example10.com, https://example8.com, https://example8.com, https://example2.com, https://example10.com, https://example9.com, https://example7.com, https://example8.com"
4059,Roman Bibikov Oleksandrovych,"June 05, 1996",24,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example3.com, https://example1.com, https://example6.com"
4060,Yuriy Shevchenko Oleksandrovych,"April 02, 1978",15,?,Kharkiv Oblast,Zhytomyr Oblast,Sergeant,Battalion 2,"https://example5.com, https://example4.com, https://example3.com, https://example8.com, https://example4.com, https://example8.com, https://example5.com"
4061,Roman Kovalenko Yuriyovych,"March 27, 1988",14,"January 23, 2024",Kyiv Oblast,Odesa Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example5.com, https://example10.com, https://example5.com, https://example7.com, https://example7.com"
4062,Oleh Bibikov Serhiyovych,"September 01, 1998",41,?,Donetsk Oblast,Lviv Oblast,Private,Recon Squad,"https://example8.com, https://example7.com, https://example8.com, https://example9.com, https://example10.com, https://example3.com, https://example8.com, https://example6.com"
4063,Volodymyr Lysenko Oleksandrovych,"June 21, 1965",19,?,Lviv Oblast,Kyiv Oblast,Major,Battalion 1,"https://example7.com, https://example1.com, https://example4.com, https://example2.com, https://example2.com, https://example8.com, https://example8.com, https://example4.com"
4064,Oleksandr Lysenko Serhiyovych,"September 07, 1994",12,?,Kyiv Oblast,Lviv Oblast,Sergeant,Battalion 2,"https://example3.com, https://example5.com, https://example9.com, https://example8.com, https://example9.com, https://example10.com, https://example8.com"
4065,Mykola Zinchenko Vasyl'ovych,"September 11, 1963",76,"April 05, 2024",Odesa Oblast,Donetsk Oblast,Sergeant,Unknown,"https://example6.com, https://example2.com, https://example8.com, https://example8.com, https://example6.com, https://example8.com, https://example2.com, https://example8.com"
4066,Mykola Hrytsenko Vasyl'ovych,"July 28, 1962",87,?,Kharkiv Oblast,Donetsk Oblast,Sergeant,Recon Squad,"https://example3.com, https://example9.com, https://example2.com, https://example8.com"
4067,Andrij Bibikov Serhiyovych,"December 11, 1967",2,?,Donetsk Oblast,Odesa Oblast,Lieutenant,Battalion 2,"https://example5.com, https://example6.com, https://example3.com, https://example5.com"
4068,Oleksandr Kovalenko Romanovych,"April 06, 1979",8,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example2.com, https://example3.com, https://example3.com, https://example5.com, https://example10.com"
4069,Oleh Hrytsenko Mykolayovych,"February 07, 1965",15,?,Odesa Oblast,Zhytomyr Oblast,Private,Battalion 1,"https://example8.com, https://example9.com, https://example6.com, https://example2.com, https://example3.com, https://example8.com"
4070,Mykola Hrytsenko Ivanovych,"November 20, 1970",75,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Infantry,"https://example10.com, https://example1.com, https://example10.com"
4071,Andrij Sakalo Oleksandrovych,"September 22, 2000",13,"June 29, 2022",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example7.com, https://example10.com, https://example2.com, https://example3.com, https://example10.com, https://example3.com"
4072,Dmytro Kovalenko Oleksandrovych,"June 26, 1967",70,?,Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 2,"https://example4.com, https://example9.com, https://example3.com, https://example1.com"
4073,Oleh Tkachuk Yuriyovych,"June 17, 1961",99,?,Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Special Forces,"https://example3.com, https://example1.com, https://example7.com, https://example9.com, https://example3.com, https://example9.com"
4074,Serhiy Lysenko Petrovych,"July 09, 1995",37,"November 28, 2022",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example2.com, https://example6.com, https://example10.com, https://example1.com, https://example2.com, https://example6.com, https://example8.com"
4075,Yuriy Shevchenko Ivanovych,"May 30, 1995",26,?,Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Special Forces,"https://example10.com, https://example9.com, https://example1.com, https://example3.com"
4076,Oleksandr Sakalo Ivanovych,"July 21, 1973",64,"July 20, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Battalion 2,"https://example6.com, https://example7.com, https://example1.com, https://example7.com"
4077,Oleksandr Tkachuk Volodymyrovych,"July 10, 1988",56,"October 20, 2022",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Infantry,"https://example1.com, https://example5.com, https://example9.com, https://example7.com, https://example5.com, https://example4.com, https://example3.com, https://example6.com"
4078,Ihor Hrytsenko Vasyl'ovych,"April 19, 1968",33,?,Kharkiv Oblast,Odesa Oblast,Private,Special Forces,"https://example9.com, https://example2.com, https://example3.com, https://example1.com, https://example1.com, https://example6.com, https://example3.com"
4079,Roman Hrytsenko Ivanovych,"January 25, 1999",88,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example7.com, https://example4.com, https://example3.com"
4080,Dmytro Kovalenko Mykhailovych,"July 11, 1982",4,"March 13, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Sergeant,Battalion 2,"https://example7.com, https://example2.com, https://example6.com, https://example6.com, https://example10.com, https://example7.com"
4081,Roman Lysenko Ivanovych,"May 27, 1962",62,?,Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Battalion 1,"https://example2.com, https://example1.com, https://example5.com, https://example5.com, https://example7.com, https://example6.com, https://example1.com, https://example2.com"
4082,Ihor Kravchenko Oleksandrovych,"November 23, 1980",95,"May 22, 2023",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Recon Squad,"https://example6.com, https://example1.com, https://example6.com, https://example3.com, https://example6.com"
4083,Mykola Hrytsenko Oleksandrovych,"December 31, 1980",55,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Colonel,Special Forces,"https://example4.com, https://example10.com, https://example8.com, https://example6.com"
4084,Oleksandr Lysenko Romanovych,"May 16, 1980",31,"May 31, 2024",Zhytomyr Oblast,Lviv Oblast,Captain,Infantry,"https://example2.com, https://example1.com, https://example6.com, https://example10.com, https://example5.com, https://example10.com"
4085,Roman Bondarenko Mykhailovych,"June 20, 1968",57,"November 16, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Private,Special Forces,"https://example10.com, https://example4.com, https://example3.com, https://example1.com, https://example1.com, https://example9.com, https://example6.com, https://example5.com"
4086,Yuriy Shevchenko Vasyl'ovych,"September 18, 1986",81,"April 09, 2023",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example1.com, https://example6.com, https://example9.com, https://example6.com, https://example5.com, https://example10.com, https://example9.com"
4087,Yuriy Kovalenko Romanovych,"July 28, 1982",22,?,Odesa Oblast,Kharkiv Oblast,Major,Unknown,"https://example9.com, https://example9.com, https://example8.com, https://example5.com, https://example2.com"
4088,Ihor Tkachuk Yuriyovych,"February 23, 1991",2,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Unknown,"https://example6.com, https://example9.com, https://example9.com, https://example2.com, https://example6.com"
4089,Mykola Zinchenko Mykolayovych,"August 05, 1973",60,"October 14, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Colonel,Unknown,"https://example5.com, https://example5.com, https://example9.com, https://example1.com, https://example2.com, https://example1.com"
4090,Oleh Lysenko Ivanovych,"May 31, 1996",61,"September 08, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example8.com, https://example3.com, https://example7.com, https://example5.com, https://example4.com"
4091,Serhiy Shevchenko Vasyl'ovych,"June 30, 1966",45,"December 29, 2024",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Recon Squad,"https://example6.com, https://example1.com, https://example5.com, https://example8.com, https://example6.com, https://example10.com"
4092,Dmytro Hrytsenko Oleksandrovych,"August 06, 1964",17,?,Donetsk Oblast,Zhytomyr Oblast,Lieutenant,Recon Squad,"https://example8.com, https://example10.com, https://example8.com, https://example5.com, https://example3.com, https://example2.com"
4093,Volodymyr Hrytsenko Vasyl'ovych,"April 23, 1970",80,"April 16, 2022",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example8.com, https://example1.com, https://example9.com, https://example5.com"
4094,Serhiy Kovalenko Ivanovych,"May 16, 1985",16,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Captain,Infantry,"https://example8.com, https://example9.com, https://example2.com, https://example1.com, https://example1.com, https://example9.com, https://example9.com"
4095,Oleksandr Kravchenko Mykolayovych,"January 08, 1962",45,?,Donetsk Oblast,Donetsk Oblast,Private,Infantry,"https://example7.com, https://example6.com, https://example8.com"
4096,Oleksandr Bondarenko Oleksandrovych,"November 09, 1976",69,?,Lviv Oblast,Kyiv Oblast,Private,Battalion 1,"https://example9.com, https://example6.com, https://example5.com, https://example2.com"
4097,Volodymyr Kravchenko Romanovych,"June 27, 1991",30,"January 02, 2023",Odesa Oblast,Lviv Oblast,Lieutenant,Battalion 2,"https://example2.com, https://example8.com, https://example2.com"
4098,Yuriy Sakalo Serhiyovych,"October 11, 1988",37,"April 03, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Major,Special Forces,"https://example9.com, https://example8.com, https://example2.com, https://example9.com, https://example9.com, https://example1.com, https://example2.com, https://example7.com"
4099,Oleh Tkachuk Ivanovych,"June 09, 1985",53,?,Odesa Oblast,Lviv Oblast,Colonel,Infantry,"https://example9.com, https://example7.com, https://example10.com, https://example1.com, https://example1.com, https://example8.com, https://example3.com"
4100,Yuriy Lysenko Serhiyovych,"November 04, 1990",45,"April 06, 2024",Zhytomyr Oblast,Odesa Oblast,Lieutenant,Unknown,"https://example7.com, https://example3.com, https://example6.com, https://example1.com, https://example5.com, https://example10.com, https://example7.com, https://example9.com"
4101,Dmytro Bondarenko Serhiyovych,"August 08, 1998",10,"January 11, 2022",Odesa Oblast,Kharkiv Oblast,Major,Battalion 1,"https://example1.com, https://example4.com, https://example10.com, https://example4.com, https://example9.com, https://example4.com, https://example6.com"
4102,Dmytro Hrytsenko Oleksandrovych,"July 18, 1987",16,"June 30, 2024",Kharkiv Oblast,Odesa Oblast,Major,Infantry,"https://example4.com, https://example2.com, https://example9.com, https://example10.com, https://example7.com, https://example6.com"
4103,Andrij Kovalenko Oleksandrovych,"December 31, 1973",96,"July 26, 2023",Lviv Oblast,Lviv Oblast,Senior soldier,Special Forces,"https://example10.com, https://example7.com, https://example8.com, https://example4.com, https://example4.com, https://example2.com, https://example4.com"
4104,Serhiy Bondarenko Ivanovych,"December 12, 1990",100,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Battalion 2,"https://example2.com, https://example7.com, https://example6.com, https://example7.com"
4105,Dmytro Hrytsenko Mykhailovych,"April 23, 1965",48,?,Kyiv Oblast,Donetsk Oblast,Private,Infantry,"https://example3.com, https://example4.com, https://example10.com, https://example10.com, https://example3.com, https://example2.com"
4106,Dmytro Bondarenko Mykhailovych,"October 02, 1988",17,?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Special Forces,"https://example9.com, https://example2.com, https://example3.com"
4107,Roman Kovalenko Petrovych,"March 24, 1992",65,"October 12, 2023",Zhytomyr Oblast,Donetsk Oblast,Private,Unknown,"https://example7.com, https://example3.com, https://example9.com, https://example5.com"
4108,Andrij Hrytsenko Mykhailovych,"March 17, 1989",84,"April 13, 2023",Chernivtsi Oblast,Kharkiv Oblast,Colonel,Special Forces,"https://example4.com, https://example5.com, https://example8.com, https://example6.com, https://example3.com"
4109,Dmytro Bondarenko Petrovych,"March 28, 1965",27,"October 31, 2023",Odesa Oblast,Kharkiv Oblast,Colonel,Special Forces,"https://example6.com, https://example8.com, https://example9.com"
4110,Dmytro Kravchenko Mykhailovych,"December 19, 1976",60,?,Odesa Oblast,Donetsk Oblast,Private,Recon Squad,"https://example1.com, https://example10.com, https://example3.com, https://example8.com, https://example6.com, https://example8.com"
4111,Oleksandr Bondarenko Oleksandrovych,"May 12, 1981",28,"July 09, 2022",Kharkiv Oblast,Donetsk Oblast,Colonel,Unknown,"https://example6.com, https://example7.com, https://example9.com, https://example6.com, https://example3.com"
4112,Roman Tkachuk Romanovych,"January 29, 1996",86,?,Odesa Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example5.com, https://example7.com, https://example6.com, https://example2.com, https://example6.com, https://example1.com, https://example10.com"
4113,Dmytro Zinchenko Yuriyovych,"October 04, 1989",38,?,Odesa Oblast,Donetsk Oblast,Lieutenant,Battalion 2,"https://example4.com, https://example10.com, https://example1.com, https://example4.com, https://example1.com, https://example5.com"
4114,Yuriy Kovalenko Ivanovych,"June 17, 1992",6,?,Chernivtsi Oblast,Odesa Oblast,Colonel,Infantry,"https://example8.com, https://example5.com, https://example5.com, https://example6.com, https://example9.com, https://example5.com, https://example3.com"
4115,Roman Lysenko Mykhailovych,"July 22, 1984",22,"March 03, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Colonel,Battalion 1,"https://example6.com, https://example6.com, https://example6.com, https://example7.com, https://example8.com, https://example4.com"
4116,Mykola Shevchenko Ivanovych,"April 07, 1973",1,?,Kharkiv Oblast,Kyiv Oblast,Lieutenant,Infantry,"https://example8.com, https://example3.com, https://example9.com, https://example7.com, https://example3.com, https://example4.com, https://example7.com, https://example1.com"
4117,Dmytro Bondarenko Serhiyovych,"March 18, 1960",97,?,Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example6.com, https://example5.com, https://example8.com"
4118,Ihor Bibikov Volodymyrovych,"September 21, 1999",39,"May 13, 2022",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 2,"https://example7.com, https://example8.com, https://example1.com, https://example4.com, https://example1.com, https://example3.com, https://example8.com"
4119,Yuriy Bibikov Volodymyrovych,"October 27, 1983",28,?,Lviv Oblast,Odesa Oblast,Captain,Recon Squad,"https://example8.com, https://example1.com, https://example10.com, https://example6.com, https://example5.com"
4120,Mykola Tkachuk Ivanovych,"March 27, 1982",8,"February 08, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Special Forces,"https://example9.com, https://example2.com, https://example2.com, https://example10.com, https://example5.com, https://example6.com, https://example9.com, https://example9.com"
4121,Oleh Hrytsenko Serhiyovych,"October 17, 1995",16,?,Chernivtsi Oblast,Kharkiv Oblast,Lieutenant,Battalion 2,"https://example10.com, https://example3.com, https://example1.com, https://example4.com, https://example4.com"
4122,Roman Tkachuk Serhiyovych,"December 08, 1968",72,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Infantry,"https://example5.com, https://example2.com, https://example8.com"
4123,Dmytro Hrytsenko Romanovych,"October 16, 1972",33,"February 14, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Special Forces,"https://example8.com, https://example8.com, https://example4.com, https://example6.com, https://example10.com, https://example9.com"
4124,Yuriy Hrytsenko Petrovych,"September 09, 1975",95,"September 01, 2024",Chernivtsi Oblast,Kharkiv Oblast,Sergeant,Recon Squad,"https://example5.com, https://example5.com, https://example10.com"
4125,Mykola Zinchenko Mykolayovych,"July 18, 1999",66,"March 05, 2024",Chernivtsi Oblast,Chernivtsi Oblast,Senior soldier,Battalion 1,"https://example5.com, https://example8.com, https://example1.com, https://example3.com, https://example5.com, https://example9.com"
4126,Oleh Sakalo Serhiyovych,"April 14, 1972",26,"September 30, 2022",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example7.com, https://example6.com, https://example5.com"
4127,Mykola Bibikov Petrovych,"June 29, 1969",32,"May 02, 2022",Kharkiv Oblast,Odesa Oblast,Lieutenant,Recon Squad,"https://example5.com, https://example8.com, https://example3.com, https://example4.com, https://example5.com, https://example9.com, https://example6.com"
4128,Andrij Zinchenko Oleksandrovych,"August 12, 1965",20,"July 27, 2023",Zhytomyr Oblast,Chernivtsi Oblast,Major,Unknown,"https://example2.com, https://example9.com, https://example3.com, https://example9.com"
4129,Yuriy Tkachuk Oleksandrovych,"October 28, 1978",43,?,Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Infantry,"https://example5.com, https://example10.com, https://example8.com, https://example8.com, https://example4.com, https://example6.com, https://example1.com"
4130,Andrij Hrytsenko Mykhailovych,"February 26, 1975",27,?,Odesa Oblast,Kyiv Oblast,Senior soldier,Infantry,"https://example2.com, https://example5.com, https://example3.com, https://example1.com, https://example9.com, https://example4.com, https://example7.com"
4131,Roman Zinchenko Mykolayovych,"October 16, 1987",88,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Special Forces,"https://example1.com, https://example2.com, https://example4.com, https://example6.com, https://example10.com, https://example1.com, https://example4.com, https://example6.com"
4132,Roman Kravchenko Serhiyovych,"May 14, 1987",52,?,Zhytomyr Oblast,Kyiv Oblast,Major,Unknown,"https://example8.com, https://example3.com, https://example9.com, https://example10.com"
4133,Oleksandr Bibikov Volodymyrovych,"May 27, 1997",26,"October 10, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Infantry,"https://example7.com, https://example2.com, https://example7.com, https://example7.com, https://example10.com, https://example4.com, https://example3.com"
4134,Roman Lysenko Petrovych,"February 11, 1998",37,?,Kyiv Oblast,Kyiv Oblast,Colonel,Recon Squad,"https://example4.com, https://example3.com, https://example5.com, https://example4.com, https://example3.com"
4135,Mykola Tkachuk Mykolayovych,"October 26, 1961",41,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Infantry,"https://example6.com, https://example2.com, https://example9.com, https://example6.com, https://example1.com"
4136,Yuriy Zinchenko Mykhailovych,"October 07, 1993",51,"September 26, 2023",Odesa Oblast,Zhytomyr Oblast,Private,Infantry,"https://example5.com, https://example7.com, https://example8.com, https://example4.com, https://example4.com, https://example1.com, https://example2.com"
4137,Dmytro Tkachuk Mykhailovych,"March 14, 1969",15,"April 09, 2023",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example6.com, https://example1.com, https://example10.com, https://example8.com, https://example3.com, https://example1.com, https://example10.com, https://example1.com"
4138,Ihor Kravchenko Romanovych,"February 23, 1998",43,"February 08, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example9.com, https://example5.com, https://example6.com, https://example8.com, https://example6.com, https://example2.com"
4139,Oleksandr Kovalenko Oleksandrovych,"April 07, 1993",41,"December 10, 2022",Kyiv Oblast,Donetsk Oblast,Sergeant,Battalion 2,"https://example6.com, https://example1.com, https://example5.com, https://example1.com, https://example8.com, https://example4.com, https://example9.com"
4140,Serhiy Bibikov Yuriyovych,"July 03, 1977",26,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Major,Battalion 1,"https://example9.com, https://example7.com, https://example3.com, https://example2.com"
4141,Mykola Tkachuk Mykolayovych,"October 22, 1967",78,?,Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Unknown,"https://example6.com, https://example2.com, https://example2.com, https://example10.com"
4142,Roman Sakalo Oleksandrovych,"April 18, 1996",73,"October 09, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Infantry,"https://example7.com, https://example7.com, https://example5.com"
4143,Roman Lysenko Yuriyovych,"March 17, 1993",26,"October 13, 2024",Zhytomyr Oblast,Zhytomyr Oblast,Captain,Battalion 2,"https://example10.com, https://example8.com, https://example7.com, https://example6.com, https://example3.com, https://example8.com"
4144,Volodymyr Zinchenko Yuriyovych,"April 16, 1973",28,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Recon Squad,"https://example6.com, https://example6.com, https://example5.com, https://example2.com"
4145,Mykola Lysenko Mykhailovych,"April 26, 1992",44,?,Kyiv Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example4.com, https://example3.com, https://example6.com, https://example6.com, https://example2.com"
4146,Ihor Zinchenko Serhiyovych,"June 18, 1973",76,?,Lviv Oblast,Chernivtsi Oblast,Colonel,Unknown,"https://example8.com, https://example3.com, https://example3.com, https://example3.com, https://example3.com, https://example7.com"
4147,Oleh Zinchenko Yuriyovych,"February 18, 2000",9,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Captain,Recon Squad,"https://example6.com, https://example6.com, https://example10.com, https://example2.com, https://example7.com, https://example5.com, https://example10.com"
4148,Mykola Hrytsenko Ivanovych,"September 08, 1991",74,"January 06, 2024",Kyiv Oblast,Donetsk Oblast,Major,Battalion 1,"https://example7.com, https://example4.com, https://example9.com, https://example2.com, https://example10.com, https://example1.com"
4149,Volodymyr Kravchenko Mykolayovych,"August 08, 1975",2,"September 04, 2023",Lviv Oblast,Kyiv Oblast,Major,Recon Squad,"https://example4.com, https://example7.com, https://example10.com, https://example3.com, https://example9.com"
